Name,price,link
"
                   iKall K-66 (Black & Blue) 
               ",Rs. 459,/ikall-k-66/p/itmeefzszw8u9zfg?pid=MOBEEFZSKVW7HFHX&al=9UVSf0Mge7SFzIkWGQ3OPsldugMWZuE7Qdj0IGOOVqu93LcyTDf6kavAv3KdFLdAv0oJRvBE1NM%3D&ref=L%3A2317778581229424265&srno=b_0
"
                   IKall K-11 Dual SIM Mobile (Black & Blue) (Black, Blue) 
               ",Rs. 468,/ikall-k-11-dual-sim-mobile-black-blue/p/itmeegfhvbpdpedh?pid=MOBEEGFHFWREWFGZ&al=9UVSf0Mge7SFzIkWGQ3OPsldugMWZuE7Qdj0IGOOVqss%2B1QebKSHV7sLoCHl%2BR6c%2BBsZ9kCtQHM%3D&ref=L%3A2317778581229424265&srno=b_1
"
                   i KALL K-55 (White & Red) 
               ",Rs. 469,/i-kall-k-55/p/itmee8fwsjhvxsmf?pid=MOBEE8FWURZTUJYB&al=9UVSf0Mge7SFzIkWGQ3OPsldugMWZuE7Qdj0IGOOVqtwh1UetZFs%2BO9YPb9XjH9aKJW6hXR46gY%3D&ref=L%3A2317778581229424265&srno=b_2
"
                   iKall K-66 (White) 
               ",Rs. 469,/ikall-k-66/p/itmeefzszw8u9zfg?pid=MOBEEFZSHMPZ7QHG&al=9UVSf0Mge7SFzIkWGQ3OPsldugMWZuE7Qdj0IGOOVquOocut%2B%2B%2BY%2BzUPnR%2FwHVZseKcct3Nri%2F4%3D&ref=L%3A2317778581229424265&srno=b_3
"
                   iKall K-66 (Black & Red) 
               ",Rs. 469,/ikall-k-66/p/itmeefzszw8u9zfg?pid=MOBEEGFMTGMBGHEV&al=9UVSf0Mge7SFzIkWGQ3OPsldugMWZuE7Qdj0IGOOVqvmHiQngIs74Z%2BNixPpxMXB%2BM0Dv30k%2F7Y%3D&ref=L%3A2317778581229424265&srno=b_4
"
                   i KALL K55 1.8 inch Dual Sim Mobile with bluetooth (Bla...
               ",Rs. 470,/kall-k55-1-8-inch-dual-sim-mobile-bluetooth/p/itmee4snwavugd4d?pid=MOBEE4SN3SZK9MKX&al=9UVSf0Mge7SFzIkWGQ3OPsldugMWZuE7Qdj0IGOOVquRMJT1hAJeBC4ssRR82CvtaQBTEqSupug%3D&ref=L%3A2317778581229424265&srno=b_5
"
                   IKall K-11 Dual SIM Mobile (Red & Black) (Red, Black) 
               ",Rs. 480,/ikall-k-11-dual-sim-mobile-red-black/p/itmeejggjwxp2buw?pid=MOBEEJGGGCGFTDCG&al=9UVSf0Mge7S74oNlQEJWQMldugMWZuE7Qdj0IGOOVqupme1n%2FtygaNwMAvKQ9L36UepljvEcAbM%3D&ref=L%3A2317778581229424265&srno=b_6
"
                   i KALL 1.8 inch Dual Sim Mobile(K-66) with bluetooth-bl...
               ",Rs. 484,/kall-1-8-inch-dual-sim-mobile-k-66-bluetooth-blue/p/itmeegfgj6cwjnvz?pid=MOBEEGFGK4QFRRKJ&al=9UVSf0Mge7S74oNlQEJWQMldugMWZuE7Qdj0IGOOVqvSBaw6%2FHwhBZ6tDVXId4%2BmUUMm8r%2FLlJU%3D&ref=L%3A2317778581229424265&srno=b_7
"
                   i KALL K55 1.8 inch Dual Sim Mobile with bluetooth (Whi...
               ",Rs. 485,/kall-k55-1-8-inch-dual-sim-mobile-bluetooth/p/itmee4snuzwtbsyx?pid=MOBEE4SNXKZNVVFG&al=9UVSf0Mge7S74oNlQEJWQMldugMWZuE7Qdj0IGOOVqvgXSJZRgrJzxP2fYpOi4zpLJ9VEgktHw8%3D&ref=L%3A2317778581229424265&srno=b_8
"
                   i KALL Dual Sim 1.8 Inch Feature phone with bluetooth-r...
               ",Rs. 488,/kall-dual-sim-1-8-inch-feature-phone-bluetooth-red/p/itmed5y9p9maz9yn?pid=MOBED5Y93VYHCXZD&al=9UVSf0Mge7S74oNlQEJWQMldugMWZuE7Qdj0IGOOVquSB2tA%2FYQTnGYvJA7OaG38SbmcHV6Sv%2BE%3D&ref=L%3A2317778581229424265&srno=b_9
"
                   i KALL Dual Sim 1.8 Inch Feature phone with bluetooth-b...
               ",Rs. 488,/kall-dual-sim-1-8-inch-feature-phone-bluetooth-blue-black/p/itmed5y9ttqkfxew?pid=MOBED5Y93EXHXRRM&al=9UVSf0Mge7S74oNlQEJWQMldugMWZuE7Qdj0IGOOVquSB2tA%2FYQTnL8poUtgrqwOJRp9as1GzXY%3D&ref=L%3A2317778581229424265&srno=b_10
"
                   i KALL 1.8 inch Dual Sim Mobile With bluetooth(K-66)-Re...
               ",Rs. 488,/kall-1-8-inch-dual-sim-mobile-bluetooth-k-66-red/p/itmeegfegsy2y4ej?pid=MOBEEGFE56ZY6DT2&al=9UVSf0Mge7S74oNlQEJWQMldugMWZuE7Qdj0IGOOVqtFQ23r2LbyTUiX6j2DaEq2jQS6Yh94%2FbI%3D&ref=L%3A2317778581229424265&srno=b_11
"
                   i KALL K-55 (Black & Blue) 
               ",Rs. 489,/i-kall-k-55/p/itmee8fxbgc2fyxw?pid=MOBEE8FXESQMUKE7&al=9UVSf0Mge7S74oNlQEJWQMldugMWZuE7Qdj0IGOOVqtYjxTluCEYpgzI53TV3fptMFXstUtnPMY%3D&ref=L%3A2317778581229424265&srno=b_12
